     Protons     Neutrons     Experimental BE              Experimental Error            Theory BE                   Theory Error
          14          30  -315.64807700000000       0.61599999999999999       -328.75723647367175        2.0614961414505999E-006
          14          31  -314.76707699999997       0.71999999999999997       -329.54793585963631        2.2554319647887685E-006
          15           9  -148.64665600000001       0.50400000000000000       -154.75827764825078        9.2686431464297986E-007
          15          10  -170.29065600000001       0.40000000000000002       -174.84099709118732        6.1426024032828738E-007
          15          11  -187.13865600000000       0.20799999999999999       -191.50561649160687        4.2863169089845561E-007
          15          12  -206.90348200000000        2.6352000000000000E-002  -208.68978040617841        2.8146857712077786E-007
          15          13  -221.40006800000000        1.1479999999999999E-003  -222.77761548840505        2.6923103310098001E-007
          15          14  -239.27650000000000        3.4800000000000000E-004  -237.47538253993866        2.3178146658818725E-007
          15          15  -250.59583599999999        6.0000000000000002E-005  -249.34676754240752        2.6448479453406414E-007
          15          16  -262.90683300000001        9.9999999999999995E-007  -261.89612258660992        2.2758697964804504E-007
          15          17  -270.84249599999998        3.1999999999999999E-005  -271.84746762115964        2.4416395756216739E-007
          15          18  -280.94625400000001        1.0889999999999999E-003  -282.52739932390210        2.0310069306765108E-007
          15          19  -287.22894600000001        8.1599999999999999E-004  -290.80418415720277        2.4536509863110216E-007
          15          20  -295.60937100000001        1.8550000000000001E-003  -299.84664253171837        2.6528623251907439E-007
          15          21  -299.07390400000003        1.3103999999999999E-002  -306.65362253704342        3.6703267150116459E-007
          15          22  -305.89019100000002        3.7962000000000003E-002  -314.25285870811052        4.5586182648580697E-007
          15          23  -309.58706799999999        7.2580000000000006E-002  -319.76204126468247        5.9257378549193920E-007
          15          24  -315.81144699999999       0.11263200000000000       -326.08189714097011        7.1936685298374267E-007
          15          25  -319.22249599999998       0.15359999999999999       -330.43878164788720        8.7582903356445737E-007
          15          26  -324.15924699999999       0.12017100000000000       -335.61839796494075        1.0245708164229385E-006
          15          27  -326.24102799999997       0.31436999999999998       -338.94687725903879        1.1937720090351918E-006
          15          28  -330.64225199999998       0.55469999999999997       -343.10518686427412        1.3563192896707379E-006
          15          29  -332.93865599999998       0.48399999999999999       -345.51141892877843        1.5339185405785872E-006
          15          30  -335.87065600000000       0.49500000000000000       -348.75070623182552        1.7053053815060422E-006
          15          31  -336.57265599999999       0.68999999999999995       -350.32619216960222        1.8882116155113712E-006
          15          32  -337.92065600000001       0.79900000000000004       -352.73493198377452        2.0650577647520543E-006
          16          10  -170.23709700000001       0.59799999999999998       -175.13946576287350        8.1190301970142825E-007
          16          11  -188.36809700000001       0.40500000000000003       -193.02538319084604        5.5176063099999171E-007
          16          12  -209.39521700000000       0.15999200000000000       -211.35520147772570        3.7404554902787479E-007
          16          13  -224.69617700000001        4.9995999999999999E-002  -226.61429493975160        2.6934131429521105E-007
          16          14  -243.67030700000001        2.1000000000000001E-004  -242.41270950435054        2.3998376254227383E-007
          16          15  -256.72489700000000        2.1699999999999999E-004  -255.40384570068011        2.3388426687271034E-007
          16          16  -271.76922500000001        9.9999999999999995E-007  -269.00716963843388        2.4204211031560818E-007
          16          17  -280.41088700000000        9.9999999999999995E-007  -280.02682329552738        2.3075026247756355E-007
          16          18  -291.82802900000002        3.4000000000000000E-005  -291.71387613633885        2.2099658254153116E-007
          16          19  -298.81384700000001        3.4999999999999997E-005  -301.00863001742687        2.0220804722096315E-007
          16          20  -308.70310100000000        1.8000000000000001E-004  -311.01219672589764        2.0795678708891160E-007
          16          21  -313.00669199999999        1.8500000000000000E-004  -318.78856899352689        2.3941592355429046E-007
          16          22  -321.04281300000002        7.1820000000000000E-003  -327.30437422545759        3.0820485446001263E-007
          16          23  -325.41558800000001        4.9998000000000001E-002  -333.73652267465627        4.0158033692824618E-007
          16          24  -333.16209700000002        4.0000000000000001E-003  -340.93026272917461        5.1325249722352667E-007
          16          25  -337.40413200000000        4.1000000000000003E-003  -346.16603621459575        6.3979140522429703E-007
          16          26  -344.10463099999998        2.8140000000000001E-003  -352.17890974641426        7.7496645496709898E-007
          16          27  -346.73365799999999        4.9880000000000002E-003  -356.34462240601783        9.2073819023970987E-007
          16          28  -351.81375700000001        5.2360000000000002E-003  -361.29770405317782        1.0707411521724777E-006
          16          29  -354.67041200000000        1.0353600000000001       -364.50192342651951        1.2289303437864282E-006
          16          30  -358.42109699999997       0.50600000000000001       -368.49964413554477        1.3888066402332391E-006
          16          31  -359.44509699999998       0.51700000000000002       -370.83621591837823        1.5552021786528509E-006
          16          32  -362.14909699999998       0.57599999999999996       -373.96915079668861        1.7215946484857270E-006
          16          33  -361.85409700000002       0.68600000000000005       -375.51962996330946        1.8932537076407006E-006
          17          11  -185.17939699999999       0.58799999999999997       -191.59562153335014        7.4190916944647536E-007
          17          12  -207.59352500000000       0.18867400000000001       -211.08779113205136        5.0046904344599456E-007
          17          13  -224.38739699999999       0.20999999999999999       -227.53164415870870        3.6839103453800131E-007
          17          14  -243.93287599999999        3.4410000000000000E-003  -244.44682964321998        2.6022180148495723E-007
          17          15  -258.30432500000001        5.7600000000000001E-004  -258.57134137697886        2.6355750299373922E-007
          17          16  -274.04431199999999        3.9599999999999998E-004  -273.24455433295293        2.3604718013757129E-007
          17          17  -285.55237699999998        3.4000000000000000E-005  -285.34643370076856        2.6536228565205641E-007
          17          18  -298.19712700000002        3.4999999999999997E-005  -298.05652386652122        2.3401976903368265E-007
          17          19  -306.77691299999998        3.6000000000000001E-005  -308.38351648759408        2.4597761441987699E-007
          17          20  -317.08779399999997        3.6999999999999998E-005  -319.36419395773743        2.0321968835730155E-007
          17          21  -323.19567499999999        1.1400000000000001E-004  -328.12457456815730        2.2565725348379254E-007
          17          22  -331.26907499999999        1.7160000000000001E-003  -337.57306153749187        2.1929289125884811E-007
          17          23  -337.09799700000002        3.2079999999999997E-002  -344.94309556573018        2.9386862580869762E-007
          17          24  -344.91871600000002        6.8715999999999999E-002  -353.02692886253624        3.5435031306724009E-007
          17          25  -350.51460900000001        5.9597999999999998E-002  -359.15675413509450        4.6736947272331857E-007
          17          26  -357.91363500000000        6.1877000000000001E-002  -366.01915659079702        5.6907621108577710E-007
          17          27  -362.21000500000002       0.13631199999999999       -371.03744191784222        7.0272890222687903E-007
          17          28  -368.15930700000001       0.13617000000000001       -376.80158744371818        8.2778729320663877E-007
          17          29  -371.82747699999999       0.20865600000000001       -380.81924391150892        9.7456664790623799E-007
          17          30  -375.79939700000000       0.42299999999999999       -385.59166533962724        1.1143586754135378E-006
          17          31  -378.37139700000000       0.47999999999999998       -388.70482156149211        1.2701048414671834E-006
          17          32  -381.25639699999999       0.58799999999999997       -392.57815130635146        1.4196727510817995E-006
          17          33  -382.53739700000000       0.59999999999999998       -394.87055402295709        1.5815211062572290E-006
          17          34  -384.01739700000002       0.71399999999999997       -397.92574262863320        1.7375754905157039E-006
          18          12  -207.11167000000000       0.20616000000000001       -211.47214025223622        6.5826412354822312E-007
